INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET
I162006682,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Roxbury,291,N,2016-01-23 11:00:00,2016,1,Saturday,11,Part Three,HIGHLAND ST
I162027166,3125,Warrant Arrests,WARRANT ARREST,Dorchester,356,N,2016-04-08 09:41:00,2016,4,Friday,9,Part Three,GENEVA AVE
I152063000,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,West Roxbury,725,N,2015-07-30 16:52:00,2015,7,Thursday,16,Part Three,CYPRESS ST
I172007832,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Dorchester,342,Y,2017-01-29 06:52:00,2017,1,Sunday,6,Part One,BOWDOIN ST
I172054208,2647,Other,THREATS TO DO BODILY HARM,Downtown,81,N,2017-06-29 16:00:00,2017,6,Thursday,16,Part Two,MICHELANGELO ST
I152100115,617,Larceny,LARCENY THEFT FROM BUILDING,Downtown,118,N,2015-12-02 21:00:00,2015,12,Wednesday,21,Part One,COLUMBUS AVE
I172032945,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Mattapan,410,Y,2017-04-27 21:57:00,2017,4,Thursday,21,Part One,CEDAR ST
I162019862,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Dorchester,332,N,2016-03-14 09:45:00,2016,3,Monday,9,Part Three,COLUMBIA RD
I152078271,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",South Boston,233,N,2015-09-20 10:44:00,2015,9,Sunday,10,Part Three,E SEVENTH ST
I152064740,2405,Disorderly Conduct,DISORDERLY CONDUCT,Downtown,95,N,2015-08-05 16:42:00,2015,8,Wednesday,16,Part Two,ATLANTIC AVE
I162040020,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,623,N,2016-05-22 13:00:00,2016,5,Sunday,13,Part Three,BROOKLINE AVE
I152088733,2405,Disorderly Conduct,DISORDERLY CONDUCT,South End,149,N,2015-10-26 06:42:00,2015,10,Monday,6,Part Two,DARTMOUTH ST
I152107387,3111,License Violation,LICENSE PREMISE VIOLATION,Downtown,78,N,2015-12-30 00:53:00,2015,12,Wednesday,0,Part Three,UNION ST
I162097474,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,Dorchester,350,N,2016-11-29 18:39:00,2016,11,Tuesday,18,Part Two,ADAMS ST
I152102823,3502,Missing Person Located,MISSING PERSON - LOCATED,Jamaica Plain,582,N,2015-12-12 21:45:00,2015,12,Saturday,21,Part Three,WARREN ST
I182009758,3301,Verbal Disputes,VERBAL DISPUTE,Dorchester,356,N,2018-02-06 12:41:40,2018,2,Tuesday,12,Part Three,GENEVA AVE
I162007068,3114,Investigate Property,INVESTIGATE PROPERTY,Roxbury,266,N,2016-01-27 02:52:00,2016,1,Wednesday,2,Part Three,MOUNT PLEASANT AVE
I182053578,1402,Vandalism,VANDALISM,Jamaica Plain,304,N,2018-07-08 05:51:00,2018,7,Sunday,5,Part Two,COLUMBUS AVE
I172071973,3410,Towed,TOWED MOTOR VEHICLE,Brighton,796,N,2017-08-31 00:27:00,2017,8,Thursday,0,Part Three,COMMONWEALTH AVE
I152079278,3115,Investigate Person,INVESTIGATE PERSON,Hyde Park,493,N,2015-09-23 15:05:00,2015,9,Wednesday,15,Part Three,RIVER ST
I182046300,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",Downtown,112,N,2018-06-14 15:16:00,2018,6,Thursday,15,Part Two,ESSEX ST
I182069522,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,East Boston,26,N,2018-08-30 00:20:00,2018,8,Thursday,0,Part Three,BORDER ST
I172077199,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,Hyde Park,492,N,2017-09-16 18:00:00,2017,9,Saturday,18,Part Three,HUNTINGTON AVE
I172106573,3115,Investigate Person,INVESTIGATE PERSON,South Boston,915,N,2017-12-20 06:30:00,2017,12,Wednesday,6,Part Three,E NINTH ST
I162025976,1402,Vandalism,VANDALISM,Downtown,87,N,2016-04-03 18:00:00,2016,4,Sunday,18,Part Two,SALUTATION ST
I172065387,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,East Boston,23,N,2017-08-10 00:10:00,2017,8,Thursday,0,Part One,PRINCETON ST
I172095705,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,327,N,2017-11-16 12:08:00,2017,11,Thursday,12,Part Three,MAGNOLIA SQ
I162052511,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Roxbury, ,N,2016-07-02 12:59:00,2016,7,Saturday,12,Part Three,Not Specified
I182005065,616,Larceny,LARCENY THEFT OF BICYCLE,Jamaica Plain,577,N,2018-01-19 00:01:00,2018,1,Friday,0,Part One,EGLESTON ST
I182062321,724,Auto Theft,AUTO THEFT,South End,137,N,2018-08-06 20:05:00,2018,8,Monday,20,Part One,NEWBURY ST
I162074189,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Jamaica Plain,510,N,2016-09-11 18:22:00,2016,9,Sunday,18,Part Three,WASHINGTON ST
I172002248,3410,Towed,TOWED MOTOR VEHICLE,Roxbury,321,N,2017-01-09 11:52:00,2017,1,Monday,11,Part Three,INTERVALE ST
I172030909,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,336,N,2017-04-20 15:00:00,2017,4,Thursday,15,Part Three,BARRY ST
I172036153,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,Charlestown,41,N,2017-05-08 11:45:00,2017,5,Monday,11,Part Three,VINE ST
I182014227,3201,Property Lost,PROPERTY - LOST,Downtown,61,N,2018-02-21 15:00:00,2018,2,Wednesday,15,Part Three,LEGENDS WAY
I152099317,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,Dorchester,289,N,2015-12-01 18:51:00,2015,12,Tuesday,18,Part Two,HANCOCK ST
I162046888,3125,Warrant Arrests,WARRANT ARREST,Dorchester,335,Y,2016-06-14 00:31:00,2016,6,Tuesday,0,Part Three,BARRY ST
I172022709,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Hyde Park,480,N,2017-03-23 15:39:00,2017,3,Thursday,15,Part Three,FAIRLAWN AVE
I182036043,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,Brighton, ,N,2018-05-12 09:53:00,2018,5,Saturday,9,Part Three,BRIGHTON AVE
I182038710,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,East Boston,30,N,2018-05-21 00:00:00,2018,5,Monday,0,Part Three,GOVE ST
I172054961,423,Aggravated Assault,ASSAULT - AGGRAVATED,Mattapan,466,N,2017-07-07 21:32:00,2017,7,Friday,21,Part One,GREENDALE RD
I172065438,3410,Towed,TOWED MOTOR VEHICLE,Downtown,79,N,2017-08-10 07:21:00,2017,8,Thursday,7,Part Three,PRINCE ST
I152072497,3114,Investigate Property,INVESTIGATE PROPERTY,Brighton,761,N,2015-09-01 02:17:00,2015,9,Tuesday,2,Part Three,BENNETT ST
I172077221,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,295,Y,2017-09-16 21:43:00,2017,9,Saturday,21,Part One,DABNEY ST
I162064529,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,West Roxbury,687,N,2016-08-11 10:33:00,2016,8,Thursday,10,Part Three,MONTVALE ST
I152090123,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,Dorchester,403,N,2015-10-30 21:53:00,2015,10,Friday,21,Part Two,GALLIVAN BLVD
I162047709,2657,Other,VIOLATION - CITY ORDINANCE,South Boston,225,N,2016-03-20 14:40:00,2016,3,Sunday,14,Part Two,E BROADWAY
I182039166,3115,Investigate Person,INVESTIGATE PERSON,Downtown,63,N,2018-05-22 18:45:00,2018,5,Tuesday,18,Part Three,NEW SUDBURY ST
I152094689,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Dorchester,355,Y,2015-11-14 16:54:00,2015,11,Saturday,16,Part One,DIX ST
I182040256,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,South End,627,N,2018-05-26 01:06:00,2018,5,Saturday,1,Part One,BROOKLINE AVE
I172080257,2405,Disorderly Conduct,DISORDERLY CONDUCT,Roxbury,329,N,2017-09-26 10:19:00,2017,9,Tuesday,10,Part Two,GENEVA AVE
I152067039,3125,Warrant Arrests,WARRANT ARREST,Dorchester,336,Y,2015-08-13 16:36:00,2015,8,Thursday,16,Part Three,NORTON ST
I162104173,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,438,Y,2016-12-22 16:52:00,2016,12,Thursday,16,Part One,COLONIAL AVE
I172037895,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South End,131,N,2017-05-07 23:23:00,2017,5,Sunday,23,Part One,BEACON ST
I172082157,3201,Property Lost,PROPERTY - LOST,South Boston,203,N,2017-10-02 15:16:00,2017,10,Monday,15,Part Three,SUMMER ST
I172057723,3125,Warrant Arrests,WARRANT ARREST,Jamaica Plain,609,N,2017-07-17 03:31:00,2017,7,Monday,3,Part Three,EVERGREEN ST
I172097136,3115,Investigate Person,INVESTIGATE PERSON,Mattapan,473,N,2017-11-21 13:02:00,2017,11,Tuesday,13,Part Three,CUMMINS HWY
I152067424,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Brighton,784,N,2015-08-15 00:01:00,2015,8,Saturday,0,Part Two,CAMBRIDGE ST
I172052212,3501,Missing Person Reported,MISSING PERSON,Dorchester,336,N,2017-06-29 00:29:00,2017,6,Thursday,0,Part Three,RICHFIELD ST
I182018562,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,428,N,2018-03-11 15:18:00,2018,3,Sunday,15,Part One,NORFOLK ST
I172099020,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Brighton,769,N,2017-11-28 21:30:00,2017,11,Tuesday,21,Part Three,PARSONS ST
I172046797,2647,Other,THREATS TO DO BODILY HARM,Roxbury,315,N,2017-06-12 11:57:00,2017,6,Monday,11,Part Two,WABENO ST
I172101534,3130,Search Warrants,SEARCH WARRANT,Mattapan,468,Y,2017-12-07 13:18:00,2017,12,Thursday,13,Part Three,WALK HILL ST
I162014435,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Dorchester,402,N,2016-02-23 16:42:00,2016,2,Tuesday,16,Part Three,BURT ST
I162044473,3115,Investigate Person,INVESTIGATE PERSON,Jamaica Plain,912,N,2016-06-05 14:00:00,2016,6,Sunday,14,Part Three,CENTRE ST
I172033923,3410,Towed,TOWED MOTOR VEHICLE,Jamaica Plain,570,N,2017-05-01 08:22:00,2017,5,Monday,8,Part Three,MEEHAN ST
I172064419,3301,Verbal Disputes,VERBAL DISPUTE,Downtown, ,N,2017-08-07 08:10:00,2017,8,Monday,8,Part Three,STANIFORD ST
I162050958,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,East Boston,23,N,2016-06-27 09:27:00,2016,6,Monday,9,Part Three,CENTRAL SQ
I152073386,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,Jamaica Plain,584,N,2015-09-03 21:56:00,2015,9,Thursday,21,Part Two,HEATH ST
I162106288,3301,Verbal Disputes,VERBAL DISPUTE,Roxbury,312,N,2016-12-31 08:44:00,2016,12,Saturday,8,Part Three,HAROLD ST
